household_id,MAZ,TAZ,TYPE,NP,HHT,HHINCADJ,WORKERS
58873,394.0,34.0,2,1,6,25604.3514257793,1
58874,394.0,34.0,2,1,6,15237.5473286668,0
58875,394.0,34.0,2,1,6,8227.61008173,0
58876,394.0,34.0,2,1,6,5308.1355366,0
58877,394.0,34.0,2,1,6,906.386125218915,0
58878,395.0,34.0,4,5,1,40323.7532965938,2
58879,395.0,34.0,4,4,1,10876.633502627,1
58880,395.0,34.0,4,3,1,85043.0243784813,1
58881,395.0,34.0,4,3,5,39979.9793629593,1
58882,395.0,34.0,4,2,1,182620.703749925,1
58883,395.0,34.0,4,2,3,97315.818171,1
58884,395.0,34.0,4,2,1,24598.4661911951,0
58885,395.0,34.0,4,1,4,18127.7225043783,1
58886,395.0,34.0,4,1,4,24313.4073039841,0
58887,395.0,34.0,1,4,1,193606.761865059,2
58888,395.0,34.0,1,2,1,135957.918782837,2
58889,395.0,34.0,1,2,1,62901.3386677282,0
58890,395.0,34.0,1,1,4,83214.1421337828,1
58891,395.0,34.0,1,1,6,21521.86794686,0
58892,396.0,34.0,4,4,1,10876.633502627,1
58893,396.0,34.0,4,3,1,85043.0243784813,1
58894,396.0,34.0,4,3,5,39979.9793629593,1
58895,396.0,34.0,4,2,1,182620.703749925,1
58896,396.0,34.0,4,1,4,18127.7225043783,1
58897,396.0,34.0,1,2,1,144477.964000469,2
58898,396.0,34.0,1,2,1,57152.5701468288,0
58899,396.0,34.0,1,1,6,99504.8706329721,1
58900,396.0,34.0,1,1,4,17493.2522167251,0
58901,397.0,34.0,1,2,1,135957.918782837,2
58902,398.0,34.0,4,4,1,10876.633502627,1
58903,398.0,34.0,4,3,1,85043.0243784813,1
58904,398.0,34.0,2,3,3,86106.6818957969,1
58905,398.0,34.0,2,3,2,35892.890558669,1
58906,398.0,34.0,2,1,6,54866.4673409557,1
58907,398.0,34.0,2,1,4,44124.3317738972,1
58908,398.0,34.0,2,1,6,41693.7617600701,1
58909,398.0,34.0,2,1,6,27873.5621865856,1
58910,398.0,34.0,2,1,4,22512.4141703557,0
58911,398.0,34.0,2,1,4,2123.25421464,0
58912,398.0,34.0,2,1,6,7804.59741224397,0
58913,398.0,34.0,1,4,1,171886.966817278,2
58914,398.0,34.0,1,2,1,144477.964000469,2
58915,398.0,34.0,1,2,1,62901.3386677282,0
58916,398.0,34.0,1,2,3,29094.9946195272,1
58917,398.0,34.0,1,1,4,83214.1421337828,1
58918,398.0,34.0,1,1,6,21521.86794686,0
58919,403.0,34.0,4,4,1,10876.633502627,1
58920,403.0,34.0,4,3,1,85043.0243784813,1
58921,403.0,34.0,1,5,3,57504.8016465,2
58922,403.0,34.0,1,4,1,241756.696031652,2
58923,403.0,34.0,1,3,1,86699.5470978,2
58924,403.0,34.0,1,2,1,164325.069686162,2
58925,403.0,34.0,1,2,7,126069.519353992,2
58926,403.0,34.0,1,2,7,125644.210210789,2
58927,403.0,34.0,1,2,1,80772.12908193,1
58928,403.0,34.0,1,2,1,53586.2497696667,0
58929,403.0,34.0,1,2,2,45415.3239893435,2
58930,403.0,34.0,1,2,3,29094.9946195272,1
58931,403.0,34.0,1,1,6,79243.697879652,1
58932,403.0,34.0,1,1,6,54130.4577663492,1
58933,403.0,34.0,1,1,6,29356.1880781438,0
58934,403.0,34.0,1,1,4,17493.2522167251,0
58935,404.0,34.0,1,4,1,171886.966817278,2
58936,404.0,34.0,1,2,7,126069.519353992,2
58937,404.0,34.0,1,2,7,125644.210210789,2
58938,404.0,34.0,1,2,1,50757.6230122592,0
58939,404.0,34.0,1,2,3,29094.9946195272,1
58940,404.0,34.0,1,1,4,83620.6865597568,1
58941,404.0,34.0,1,1,4,64322.890339244,1
58942,404.0,34.0,1,1,6,24993.2940939718,0
58943,405.0,34.0,1,5,3,57504.8016465,2
58944,405.0,34.0,1,4,1,171886.966817278,2
58945,405.0,34.0,1,4,1,138676.471289391,1
58946,405.0,34.0,1,2,1,164325.069686162,2
58947,405.0,34.0,1,2,7,208492.575895632,2
58948,405.0,34.0,1,2,7,126069.519353992,2
58949,405.0,34.0,1,2,7,125644.210210789,2
58950,405.0,34.0,1,2,7,92358.5533572754,1
58951,405.0,34.0,1,2,1,71499.4274050497,0
58952,405.0,34.0,1,2,1,58730.3860876239,0
58953,405.0,34.0,1,2,2,45415.3239893435,2
58954,405.0,34.0,1,2,3,29094.9946195272,1
58955,405.0,34.0,1,2,1,16185.6078655819,0
58956,405.0,34.0,1,1,4,75641.7116123951,1
58957,405.0,34.0,1,1,4,65874.5186342973,1
58958,405.0,34.0,1,1,4,27873.5621865856,0
58959,405.0,34.0,1,1,4,19511.4935306099,0
58960,405.0,34.0,1,1,6,14066.55917199,0
58961,406.0,34.0,1,5,3,57504.8016465,2
58962,406.0,34.0,1,4,1,171886.966817278,2
58963,406.0,34.0,1,4,1,138676.471289391,1
58964,406.0,34.0,1,3,1,86699.5470978,2
58965,406.0,34.0,1,2,1,164325.069686162,2
58966,406.0,34.0,1,2,7,208492.575895632,2
58967,406.0,34.0,1,2,7,126069.519353992,2
58968,406.0,34.0,1,2,1,144477.964000469,2
58969,406.0,34.0,1,2,1,80772.12908193,1
58970,406.0,34.0,1,2,1,59819.9869334691,0
58971,406.0,34.0,1,2,1,50757.6230122592,0
58972,406.0,34.0,1,2,2,45415.3239893435,2
58973,406.0,34.0,1,2,3,29094.9946195272,1
58974,406.0,34.0,1,2,1,24342.9109762848,0
58975,406.0,34.0,1,1,6,97557.4676530496,1
58976,406.0,34.0,1,1,6,54130.4577663492,1
58977,406.0,34.0,1,1,4,32629.9005078809,0
58978,406.0,34.0,1,1,4,17493.2522167251,0
58979,406.0,34.0,1,1,6,0.0,0
58980,407.0,34.0,4,4,1,10876.633502627,1
58981,407.0,34.0,4,3,1,85043.0243784813,1
58982,407.0,34.0,4,3,5,39979.9793629593,1
58983,407.0,34.0,4,2,1,182620.703749925,1
58984,407.0,34.0,4,1,4,18127.7225043783,1
58985,407.0,34.0,4,1,6,18762.1927920315,0
58986,407.0,34.0,1,4,1,193606.761865059,2
58987,407.0,34.0,1,2,1,144477.964000469,2
58988,407.0,34.0,1,2,1,57091.482336022,0
58989,407.0,34.0,1,2,1,58730.3860876239,0
58990,407.0,34.0,1,2,3,29094.9946195272,1
58991,407.0,34.0,1,2,1,16368.4960900518,0
58992,407.0,34.0,1,1,4,75641.7116123951,1
58993,407.0,34.0,1,1,4,27981.8983438874,0
58994,407.0,34.0,1,1,4,21611.9176035415,0
58995,343.0,30.0,4,4,1,10876.633502627,1
58996,343.0,30.0,4,3,1,85043.0243784813,1
58997,343.0,30.0,4,3,5,39979.9793629593,1
58998,343.0,30.0,4,1,4,18127.7225043783,1
58999,343.0,30.0,1,4,1,138676.471289391,1
59000,343.0,30.0,1,2,7,126069.519353992,2
59001,343.0,30.0,1,2,1,144477.964000469,2
59002,343.0,30.0,1,2,5,86257.20246975,1
59003,343.0,30.0,1,2,1,57152.5701468288,0
59004,343.0,30.0,1,2,2,45415.3239893435,2
59005,343.0,30.0,1,1,4,83214.1421337828,1
59006,343.0,30.0,1,1,6,51208.7028515586,1
59007,343.0,30.0,1,1,4,21611.9176035415,0
85808,628.0,50.0,1,6,5,167064.719121924,6
85809,628.0,50.0,1,4,1,203478.528903,2
85810,628.0,50.0,1,4,1,193606.761865059,2
85811,628.0,50.0,1,4,1,366179.994588442,1
85812,628.0,50.0,1,4,1,138676.471289391,1
85813,628.0,50.0,1,4,1,69429.1771917689,1
85814,628.0,50.0,1,4,1,52123.1439739079,1
85815,628.0,50.0,1,4,2,37156.9487562,1
85816,628.0,50.0,1,4,1,41580.3950367,1
85817,628.0,50.0,1,3,1,343773.933634556,1
85818,628.0,50.0,1,3,1,86699.5470978,2
85819,628.0,50.0,1,3,1,26098.33305495,1
85820,628.0,50.0,1,2,1,164325.069686162,2
85821,628.0,50.0,1,2,7,125644.210210789,2
85822,628.0,50.0,1,2,1,114744.19651617,1
85823,628.0,50.0,1,2,1,78674.3156690018,1
85824,628.0,50.0,1,2,1,57152.5701468288,0
85825,628.0,50.0,1,1,4,92751.1463818654,1
85826,628.0,50.0,1,1,6,658.397608091468,0
85827,629.0,50.0,1,8,1,143455.933386961,4
85828,629.0,50.0,1,4,1,203478.528903,2
85829,629.0,50.0,1,4,1,241756.696031652,2
85830,629.0,50.0,1,4,3,62224.3127668631,1
85831,629.0,50.0,1,3,1,343773.933634556,1
85832,629.0,50.0,1,3,1,86699.5470978,2
85833,629.0,50.0,1,2,1,367931.02086293,2
85834,629.0,50.0,1,2,7,126069.519353992,2
85835,629.0,50.0,1,2,1,146311.494017004,2
85836,629.0,50.0,1,2,1,109950.630808017,1
85837,629.0,50.0,1,2,1,65595.7830124314,0
85838,629.0,50.0,1,2,3,41810.3432798784,1
85839,629.0,50.0,1,1,4,92751.1463818654,1
85840,254.0,23.0,1,4,1,193606.761865059,2
85841,254.0,23.0,1,4,1,138676.471289391,1
85842,254.0,23.0,1,3,1,343773.933634556,1
85843,254.0,23.0,1,3,1,83206.2462950964,2
85844,254.0,23.0,1,2,7,126069.519353992,2
85845,254.0,23.0,1,2,1,135957.918782837,2
85846,254.0,23.0,1,2,1,148375.408698336,1
85847,254.0,23.0,1,2,1,71513.8652797724,0
85848,254.0,23.0,1,2,1,62901.3386677282,0
85849,254.0,23.0,1,2,3,41810.3432798784,1
85850,254.0,23.0,1,2,3,27191.5837565674,1
85851,254.0,23.0,1,1,6,99504.8706329721,1
85852,254.0,23.0,1,1,6,0.0,0
85853,449.0,36.0,2,4,2,19139.8460347888,1
85854,449.0,36.0,2,3,3,2973.17996656913,1
85855,449.0,36.0,1,4,1,203478.528903,2
85856,449.0,36.0,1,4,1,171886.966817278,2
85857,449.0,36.0,1,4,1,138676.471289391,1
85858,449.0,36.0,1,3,1,86699.5470978,2
85859,449.0,36.0,1,3,3,45526.8182380898,1
85860,449.0,36.0,1,2,7,126069.519353992,2
85861,449.0,36.0,1,2,1,146311.494017004,2
85862,449.0,36.0,1,2,1,52679.0491586323,0
85863,449.0,36.0,1,2,1,53586.2497696667,0
85864,449.0,36.0,1,2,1,24342.9109762848,0
85865,449.0,36.0,1,1,6,79243.697879652,1
85866,449.0,36.0,1,1,4,21611.9176035415,0
85867,449.0,36.0,1,1,6,6949.75252985439,0
85868,630.0,50.0,1,4,1,203478.528903,2
85869,630.0,50.0,1,4,1,193606.761865059,2
85870,630.0,50.0,1,4,1,52123.1439739079,1
85871,630.0,50.0,1,4,2,37156.9487562,1
85872,630.0,50.0,1,3,1,343773.933634556,1
85873,630.0,50.0,1,3,1,26098.33305495,1
85874,630.0,50.0,1,2,1,164325.069686162,2
85875,630.0,50.0,1,2,1,165778.02230254,2
85876,630.0,50.0,1,2,1,144477.964000469,2
85877,630.0,50.0,1,2,1,65595.7830124314,0
85878,630.0,50.0,1,2,2,45415.3239893435,2
85879,630.0,50.0,1,1,4,75641.7116123951,1
85880,630.0,50.0,1,1,6,6949.75252985439,0
85881,631.0,50.0,1,4,1,193606.761865059,2
85882,631.0,50.0,1,4,1,138676.471289391,1
85883,631.0,50.0,1,3,1,343773.933634556,1
85884,631.0,50.0,1,3,3,90238.3041222,1
85885,631.0,50.0,1,3,3,45526.8182380898,1
85886,631.0,50.0,1,3,1,26098.33305495,1
85887,631.0,50.0,1,2,1,194631.636342,2
85888,631.0,50.0,1,2,7,126069.519353992,2
85889,631.0,50.0,1,2,1,135957.918782837,2
85890,631.0,50.0,1,2,1,57152.5701468288,0
85891,631.0,50.0,1,2,3,27191.5837565674,1
85892,631.0,50.0,1,2,1,24342.9109762848,0
85893,631.0,50.0,1,1,6,79243.697879652,1
85894,631.0,50.0,1,1,4,74921.3143589437,1
85895,631.0,50.0,1,1,6,10970.14677564,0
85896,632.0,50.0,1,6,5,167064.719121924,6
85897,632.0,50.0,1,5,3,77442.7047460236,3
85898,632.0,50.0,1,4,1,171886.966817278,2
85899,632.0,50.0,1,4,1,351221.6346717,1
85900,632.0,50.0,1,4,1,138676.471289391,1
85901,632.0,50.0,1,4,5,67028.5342682009,4
85902,632.0,50.0,1,4,3,62224.3127668631,1
85903,632.0,50.0,1,4,2,37156.9487562,1
85904,632.0,50.0,1,3,1,343773.933634556,1
85905,632.0,50.0,1,3,1,83206.2462950964,2
85906,632.0,50.0,1,2,1,367931.02086293,2
85907,632.0,50.0,1,2,3,105919.536309025,2
85908,632.0,50.0,1,2,1,146311.494017004,2
85909,632.0,50.0,1,2,1,53888.8868940655,0
85910,632.0,50.0,1,2,1,65595.7830124314,0
85911,632.0,50.0,1,2,3,41810.3432798784,1
85912,632.0,50.0,1,1,4,92751.1463818654,1
85913,632.0,50.0,1,1,4,22242.2652003114,0
85914,633.0,50.0,1,6,5,167064.719121924,6
85915,633.0,50.0,1,8,1,143455.933386961,4
85916,633.0,50.0,1,4,1,203478.528903,2
85917,633.0,50.0,1,4,1,241756.696031652,2
85918,633.0,50.0,1,4,1,138676.471289391,1
85919,633.0,50.0,1,4,2,37156.9487562,1
85920,633.0,50.0,1,3,1,343773.933634556,1
85921,633.0,50.0,1,3,1,86699.5470978,2
85922,633.0,50.0,1,3,1,26098.33305495,1
85923,633.0,50.0,1,2,1,194631.636342,2
85924,633.0,50.0,1,2,7,126069.519353992,2
85925,633.0,50.0,1,2,1,146311.494017004,2
85926,633.0,50.0,1,2,1,148375.408698336,1
85927,633.0,50.0,1,2,1,62901.3386677282,0
85928,633.0,50.0,1,2,3,41810.3432798784,1
85929,633.0,50.0,1,2,3,27191.5837565674,1
85930,633.0,50.0,1,1,4,92751.1463818654,1
85931,633.0,50.0,1,1,6,19810.924469913,0
85932,633.0,50.0,1,1,6,658.397608091468,0
85933,634.0,50.0,2,4,2,19139.8460347888,1
85934,634.0,50.0,2,3,3,2973.17996656913,1
85935,634.0,50.0,1,8,1,143455.933386961,4
85936,634.0,50.0,1,5,3,77442.7047460236,3
85937,634.0,50.0,1,4,1,203478.528903,2
85938,634.0,50.0,1,4,1,193606.761865059,2
85939,634.0,50.0,1,4,1,138676.471289391,1
85940,634.0,50.0,1,4,1,52123.1439739079,1
85941,634.0,50.0,1,4,1,41580.3950367,1
85942,634.0,50.0,1,3,1,343773.933634556,1
85943,634.0,50.0,1,3,1,86699.5470978,2
85944,634.0,50.0,1,2,1,164325.069686162,2
85945,634.0,50.0,1,2,1,165778.02230254,2
85946,634.0,50.0,1,2,7,126069.519353992,2
85947,634.0,50.0,1,2,1,144477.964000469,2
85948,634.0,50.0,1,2,1,109950.630808017,1
85949,634.0,50.0,1,2,1,78674.3156690018,1
85950,634.0,50.0,1,2,1,70643.7345995622,0
85951,634.0,50.0,1,2,1,57152.5701468288,0
85952,634.0,50.0,1,1,6,79243.697879652,1
85953,634.0,50.0,1,1,4,17493.2522167251,0
85954,634.0,50.0,1,1,6,10970.14677564,0
85955,635.0,50.0,1,6,5,167064.719121924,6
85956,635.0,50.0,1,4,1,203478.528903,2
85957,635.0,50.0,1,4,1,171886.966817278,2
85958,635.0,50.0,1,4,1,366179.994588442,1
85959,635.0,50.0,1,4,3,62224.3127668631,1
85960,635.0,50.0,1,3,1,343773.933634556,1
85961,635.0,50.0,1,3,1,86699.5470978,2
85962,635.0,50.0,1,3,1,26098.33305495,1
85963,635.0,50.0,1,2,1,194631.636342,2
85964,635.0,50.0,1,2,7,125644.210210789,2
85965,635.0,50.0,1,2,1,148375.408698336,1
85966,635.0,50.0,1,2,1,57152.5701468288,0
85967,635.0,50.0,1,2,3,27191.5837565674,1
85968,635.0,50.0,1,1,6,99504.8706329721,1
85969,635.0,50.0,1,1,4,17493.2522167251,0
85970,636.0,50.0,1,8,1,143455.933386961,4
85971,636.0,50.0,1,5,3,77442.7047460236,3
85972,636.0,50.0,1,5,3,57504.8016465,2
85973,636.0,50.0,1,4,1,203478.528903,2
85974,636.0,50.0,1,4,1,171886.966817278,2
85975,636.0,50.0,1,4,1,351221.6346717,1
85976,636.0,50.0,1,4,1,138676.471289391,1
85977,636.0,50.0,1,4,3,62224.3127668631,1
85978,636.0,50.0,1,4,1,41580.3950367,1
85979,636.0,50.0,1,3,1,343773.933634556,1
85980,636.0,50.0,1,3,1,79021.5487989702,3
85981,636.0,50.0,1,3,1,86699.5470978,2
85982,636.0,50.0,1,2,1,164325.069686162,2
85983,636.0,50.0,1,2,1,165778.02230254,2
85984,636.0,50.0,1,2,7,126069.519353992,2
85985,636.0,50.0,1,2,1,135957.918782837,2
85986,636.0,50.0,1,2,1,148375.408698336,1
85987,636.0,50.0,1,2,1,58730.3860876239,0
85988,636.0,50.0,1,2,2,45415.3239893435,2
85989,636.0,50.0,1,1,4,83214.1421337828,1
85990,636.0,50.0,1,1,4,74921.3143589437,1
85991,636.0,50.0,1,1,6,658.397608091468,0
85992,637.0,50.0,2,4,2,19139.8460347888,1
85993,637.0,50.0,2,3,3,2973.17996656913,1
85994,637.0,50.0,1,4,1,203478.528903,2
85995,637.0,50.0,1,4,1,193606.761865059,2
85996,637.0,50.0,1,4,1,138676.471289391,1
85997,637.0,50.0,1,4,1,69429.1771917689,1
85998,637.0,50.0,1,3,1,343773.933634556,1
85999,637.0,50.0,1,3,1,83206.2462950964,2
86000,637.0,50.0,1,3,1,26098.33305495,1
86001,637.0,50.0,1,2,1,194631.636342,2
86002,637.0,50.0,1,2,5,323579.846703153,2
86003,637.0,50.0,1,2,7,126069.519353992,2
86004,637.0,50.0,1,2,1,144477.964000469,2
86005,637.0,50.0,1,2,1,114744.19651617,1
86006,637.0,50.0,1,2,1,54539.2700117525,0
86007,637.0,50.0,1,2,1,57152.5701468288,0
86008,637.0,50.0,1,1,6,97557.4676530496,1
86009,637.0,50.0,1,1,4,19511.4935306099,0
86010,637.0,50.0,1,1,6,6949.75252985439,0
86011,638.0,50.0,1,4,1,241756.696031652,2
86012,638.0,50.0,1,4,1,138676.471289391,1
86013,638.0,50.0,1,3,1,343773.933634556,1
86014,638.0,50.0,1,3,1,86699.5470978,2
86015,638.0,50.0,1,2,1,367931.02086293,2
86016,638.0,50.0,1,2,5,323579.846703153,2
86017,638.0,50.0,1,2,1,135957.918782837,2
86018,638.0,50.0,1,2,1,65595.7830124314,0
86019,638.0,50.0,1,1,6,79243.697879652,1
86020,638.0,50.0,1,1,4,8055.45947192324,0
86021,639.0,50.0,1,5,3,77442.7047460236,3
86022,639.0,50.0,1,4,1,171886.966817278,2
86023,639.0,50.0,1,4,1,138676.471289391,1
86024,639.0,50.0,1,4,3,62224.3127668631,1
86025,639.0,50.0,1,3,1,343773.933634556,1
86026,639.0,50.0,1,3,1,86699.5470978,2
86027,639.0,50.0,1,3,3,45526.8182380898,1
86028,639.0,50.0,1,2,1,194631.636342,2
86029,639.0,50.0,1,2,3,105919.536309025,2
86030,639.0,50.0,1,2,7,125644.210210789,2
86031,639.0,50.0,1,2,1,148375.408698336,1
86032,639.0,50.0,1,2,1,65595.7830124314,0
86033,639.0,50.0,1,1,4,92751.1463818654,1
86034,640.0,50.0,1,6,5,167064.719121924,6
86035,640.0,50.0,1,4,1,203478.528903,2
86036,640.0,50.0,1,4,1,171886.966817278,2
86037,640.0,50.0,1,4,2,37156.9487562,1
86038,640.0,50.0,1,3,1,343773.933634556,1
86039,640.0,50.0,1,3,1,83206.2462950964,2
86040,640.0,50.0,1,3,1,26098.33305495,1
86041,640.0,50.0,1,2,3,105919.536309025,2
86042,640.0,50.0,1,2,1,146311.494017004,2
86043,640.0,50.0,1,2,1,64573.7523989233,0
86044,640.0,50.0,1,2,1,58730.3860876239,0
86045,640.0,50.0,1,1,4,83620.6865597568,1
86046,640.0,50.0,1,1,6,24993.2940939718,0
86047,641.0,50.0,1,6,5,167064.719121924,6
86048,641.0,50.0,1,8,1,143455.933386961,4
86049,641.0,50.0,1,4,1,203478.528903,2
86050,641.0,50.0,1,4,1,193606.761865059,2
86051,641.0,50.0,1,4,1,138676.471289391,1
86052,641.0,50.0,1,4,3,62224.3127668631,1
86053,641.0,50.0,1,4,2,37156.9487562,1
86054,641.0,50.0,1,3,1,343773.933634556,1
86055,641.0,50.0,1,3,1,86699.5470978,2
86056,641.0,50.0,1,3,3,90238.3041222,1
86057,641.0,50.0,1,2,1,367931.02086293,2
86058,641.0,50.0,1,2,3,105919.536309025,2
86059,641.0,50.0,1,2,7,125644.210210789,2
86060,641.0,50.0,1,2,1,109950.630808017,1
86061,641.0,50.0,1,2,1,79718.3878536348,0
86062,641.0,50.0,1,2,1,70643.7345995622,0
86063,641.0,50.0,1,2,1,57152.5701468288,0
86064,641.0,50.0,1,2,3,41810.3432798784,1
86065,641.0,50.0,1,1,6,97557.4676530496,1
86066,641.0,50.0,1,1,4,74921.3143589437,1
86067,641.0,50.0,1,1,4,4531.93062609457,0
86068,642.0,50.0,1,4,1,193606.761865059,2
86069,642.0,50.0,1,4,1,138676.471289391,1
86070,642.0,50.0,1,3,1,343773.933634556,1
86071,642.0,50.0,1,3,3,45526.8182380898,1
86072,642.0,50.0,1,3,1,26098.33305495,1
86073,642.0,50.0,1,2,1,164325.069686162,2
86074,642.0,50.0,1,2,7,125644.210210789,2
86075,642.0,50.0,1,2,1,109950.630808017,1
86076,642.0,50.0,1,2,1,53888.8868940655,0
86077,642.0,50.0,1,2,1,62901.3386677282,0
86078,642.0,50.0,1,2,3,41810.3432798784,1
86079,642.0,50.0,1,1,6,99504.8706329721,1
86080,642.0,50.0,1,1,4,5574.71243731712,0
86081,643.0,50.0,1,6,5,167064.719121924,6
86082,643.0,50.0,1,4,1,203478.528903,2
86083,643.0,50.0,1,4,1,171886.966817278,2
86084,643.0,50.0,1,3,1,343773.933634556,1
86085,643.0,50.0,1,3,1,83206.2462950964,2
86086,643.0,50.0,1,3,3,45526.8182380898,1
86087,643.0,50.0,1,2,1,194631.636342,2
86088,643.0,50.0,1,2,5,323579.846703153,2
86089,643.0,50.0,1,2,7,126069.519353992,2
86090,643.0,50.0,1,2,1,135957.918782837,2
86091,643.0,50.0,1,2,1,109950.630808017,1
86092,643.0,50.0,1,2,1,57152.5701468288,0
86093,643.0,50.0,1,2,1,16185.6078655819,0
86094,643.0,50.0,1,1,6,97557.4676530496,1
86095,643.0,50.0,1,1,6,10970.14677564,0
86096,644.0,50.0,1,4,1,203478.528903,2
86097,644.0,50.0,1,4,1,241756.696031652,2
86098,644.0,50.0,1,4,1,41580.3950367,1
86099,644.0,50.0,1,3,1,343773.933634556,1
86100,644.0,50.0,1,3,1,83206.2462950964,2
86101,644.0,50.0,1,2,1,146311.494017004,2
86102,644.0,50.0,1,2,1,109950.630808017,1
86103,644.0,50.0,1,2,1,70643.7345995622,0
86104,644.0,50.0,1,2,1,65595.7830124314,0
86105,644.0,50.0,1,2,2,45415.3239893435,2
86106,644.0,50.0,1,1,4,92751.1463818654,1
86107,644.0,50.0,1,1,6,0.0,0
86108,645.0,50.0,1,4,1,203478.528903,2
86109,645.0,50.0,1,4,1,171886.966817278,2
86110,645.0,50.0,1,4,1,138676.471289391,1
86111,645.0,50.0,1,3,1,343773.933634556,1
86112,645.0,50.0,1,3,1,86699.5470978,2
86113,645.0,50.0,1,2,1,194631.636342,2
86114,645.0,50.0,1,2,1,135957.918782837,2
86115,645.0,50.0,1,2,1,109950.630808017,1
86116,645.0,50.0,1,2,1,71513.8652797724,0
86117,645.0,50.0,1,2,1,57152.5701468288,0
86118,645.0,50.0,1,1,4,92751.1463818654,1
86119,645.0,50.0,1,1,4,21611.9176035415,0
86120,607.0,47.0,1,5,3,77442.7047460236,3
86121,607.0,47.0,1,4,1,171886.966817278,2
86122,607.0,47.0,1,4,3,62224.3127668631,1
86123,607.0,47.0,1,2,1,164325.069686162,2
86124,607.0,47.0,1,2,1,144477.964000469,2
86125,607.0,47.0,1,2,1,109950.630808017,1
86126,607.0,47.0,1,2,1,58730.3860876239,0
86127,607.0,47.0,1,1,4,77042.8206436078,1
86128,607.0,47.0,1,1,4,17493.2522167251,0
86129,607.0,47.0,1,1,6,0.0,0
86130,608.0,47.0,1,4,1,171886.966817278,2
86131,608.0,47.0,1,4,1,138676.471289391,1
86132,608.0,47.0,1,3,1,343773.933634556,1
86133,608.0,47.0,1,3,1,86699.5470978,2
86134,608.0,47.0,1,2,5,323579.846703153,2
86135,608.0,47.0,1,2,1,144477.964000469,2
86136,608.0,47.0,1,2,1,114744.19651617,1
86137,608.0,47.0,1,2,1,53888.8868940655,0
86138,608.0,47.0,1,2,1,65595.7830124314,0
86139,608.0,47.0,1,1,4,83214.1421337828,1
86140,588.0,45.0,2,4,2,19139.8460347888,1
86141,588.0,45.0,2,3,2,35892.890558669,1
86142,588.0,45.0,2,3,2,17095.7848077725,1
86143,588.0,45.0,2,3,3,2973.17996656913,1
86144,588.0,45.0,2,2,3,27641.2825016974,1
86145,588.0,45.0,2,2,2,27014.8970044268,1
86146,588.0,45.0,2,2,3,16137.2985733976,1
86147,588.0,45.0,2,2,3,12739.52528784,1
86148,588.0,45.0,2,1,6,55780.9084633049,1
86149,588.0,45.0,2,1,6,32919.8804045734,1
86150,588.0,45.0,2,1,6,27014.8970044268,1
86151,588.0,45.0,2,1,4,18288.8224469852,1
86152,588.0,45.0,1,4,1,241756.696031652,2
86153,588.0,45.0,1,3,1,343773.933634556,1
86154,588.0,45.0,1,2,1,367931.02086293,2
86155,588.0,45.0,1,2,1,135957.918782837,2
86156,588.0,45.0,1,2,1,58730.3860876239,0
86157,588.0,45.0,1,1,6,99504.8706329721,1
